,Mud,Grass,Water,Wall,Air
Mud Right,2,0,0,0,2
Mud Up,0,4,0,0,0
Mud Forward,2,0,0,0,2
Grass Right,0,2,0,0,2
Grass Up,0,0,0,0,4
Grass Forward,0,2,0,0,2
Water Right,0,0,0,0,0
Water Up,0,0,0,0,0
Water Forward,0,0,0,0,0
Wall Right,0,0,0,0,0
Wall Up,0,0,0,0,0
Wall Forward,0,0,0,0,0
