,Mud,Grass,Water,Wall,Air
Mud Right,90,0,0,10,0
Mud Up,0,84,15,0,1
Mud Forward,90,0,0,10,0
Grass Right,0,69,5,10,0
Grass Up,0,0,0,20,64
Grass Forward,0,71,3,10,0
Water Right,0,5,11,4,0
Water Up,0,0,5,0,15
Water Forward,0,3,13,1,3
Wall Right,10,10,4,120,60
Wall Up,0,0,0,140,64
Wall Forward,10,10,1,141,42
